,song_name,lyrics,stop_word_count,word_count,line_count,words_per_line,number_of_unique_words,duration,playcount,genre,rating
13,A Perfectly Good Heart,"Why would wanna break perfectly good heart
Why would wanna take love tear apart now
Why would wanna make first scar
Why would wanna break perfectly good heart

Maybe I shouldve seen signs shouldve read writing wall
And realized distance eyes I would one fall
No matter say I still cant believe
That would walk away
It dont make sense but

Why would wanna break perfectly good heart
Why would wanna take love tear apart now
Why would wanna make first scar
Why would wanna break perfectly good heart

Its unbroken anymore
How I get back way before

Why would wanna break perfectly good heart
Why would wanna take love tear apart now
Why would wanna make first scar
Why would wanna break would wanna break a

Why would wanna break perfectly good heart
Why would wanna take love tear apart now
Why would wanna make first scar
Why would wanna break perfectly good heart
",71,204,23,8.869565217391305,51,0,852379,"['taylor swift', 'country', 'female vocalists', 'happy', 'my love']",6.415328225430133
14,Last Christmas,"Last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special

Once bitten twice shy
I keep distance still catch eye
Tell baby recognize me
Well year doesnt surprise me

Merry Christmas I wrapped sent it
With note saying I love I meant it
Now I know fool Ive been
But kissed I know youd fool again

Last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special

Last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special

A crowded room friends tired eyes
Im hiding soul ice
My God I thought someone rely on
Me I guess I shoulder cry on

A face lover fire heart
A girl cover tore apart
Maybe year
Maybe year Ill give someone special

Cause last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special

Last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special

And last Christmas
And year
It wont anything like anything like

Last Christmas I gave heart
But next day gave away
This year
To save tears
Ill give someone special
",114,280,49,5.714285714285714,85,209000,451219,"['christmas', 'country', 'country christmas', 'cover', 'holiday']",4.6195483025512925
15,Christmases When You Were Mine,"Please take mistletoe
Cause I dont wanna think right now
Cause everything I want miles away
In snow covered little town
My mommas kitchen worrying me
Seasons greetings hope youre well
Well Im alright
If wondering
Lately I never tell

I know shouldnt lonely time
But Christmases mine

Ive fine without really
Up nights got cold
And everybodys except baby
Seems like everyones got someone hold

But lonely time
Cause Christmases mine

Merry Christmas everybody
Thatll something I say year
Ill bet got mom another sweater
And cousins late again
When putting lights year
Did notice one less pair hands

I know shouldnt lonely time
But Christmases I didnt wonder tonight
Cause Christmases mine

You mine
",70,160,27,5.925925925925926,89,186000,222539,"['christmas', 'female vocalists', 'acoustic', 'holiday', 'pop']",4.459252579901813
16,Santa Baby,"Santa baby slip sable tree me
Ive awful good girl Santa baby
So hurry chimney tonight

Santa baby 54 convertible light blue
Well Ill wait dear Santa baby
So hurry chimney tonight yeah

Think fun Ive missed
Think boys I havent kissed
Next year I could good
If check Christmas list

Santa baby I want yacht really thats lot
Ive angel year Santa baby
So hurry chimney tonight

Santa honey theres one thing I really need
The deed
To platinum mine Santa honey
So hurry chimney tonight

Come trim Christmas tree
With decorations bought Tiffanys
I really believe you
Lets see believe me

Santa baby forgot mention one little thing
A ring
And I dont mean phone Santa baby
So hurry chimney tonight
",55,154,25,6.16,72,161000,216534,"['christmas', 'country christmas', 'acoustic', 'holiday', 'pop']",4.074016933207902
17,Silent Night,"Silent night holy night
All calm bright
Round yon virgin mother child
Holy infant tender mild
Sleep heavenly peace
Sleep heavenly peace

Silent night holy night
Shepherds quake sight
Glories stream Heaven afar
Heavenly hosts sing Hallelujah
Christ Saviour born
Christ Saviour born

Silent night holy night
Son God
Loves pure light
Radiant beams thy holy face
With dawn redeeming grace
Jesus Lord thy birth
Jesus Lord thy birth

Hallelujah
Hallelujah
Hallelujah
Christ Saviour born
",24,77,23,3.347826086956522,48,211000,139529,"['christmas', 'female vocals', 'country christmas', 'xmas', 'traditional']",3.9640046592232734
18,Christmas Must Be Something More,"What ribbons bows didnt mean thing
Would song still survive without five golden rings
Would still wanna kiss without mistletoe
What would happen God never let snow
What would happen Christmas carols told lie
Tell would find

Youd see today holds something special
Something holy superficial
So heres birthday boy saved lives
Its something try ignore
And put wreath door
So heres something know sure
Christmas must something more

What angels pay attention to
All things wished would always do
What happiness came cardboard box
Then I think something forgot
What would happen presents went away
Tell would find

Youd see today holds something special
Something holy superficial
So heres birthday boy saved lives
Its something try ignore
And put wreath door
So heres something know sure
Christmas must something more

We get caught it
Business relationships
Hundredmileanhour lives
And time year
And everybodys here
It seems last thing mind

Is day holds something special
Something holy superficial
So heres Jesus Christ saved lives
Its something try ignore
And put wreath door
But heres something know sure
Christmas must something
Christmas must something
Christmas must something more

Theres gotta more
Theres gotta more
",104,255,43,5.930232558139535,97,232000,166100,"['christmas', 'country', 'holiday', 'country christmas', 'pop']",4.189260763197054
19,White Christmas,"Im dreaming white Christmas
Just like ones I used know
Where tree tops glisten children listen
To hear sleigh bells snow

Im dreaming white Christmas
With every Christmas card I write
May days merry bright
And may Christmases white

Im dreaming white Christmas
Just like ones I used know
So may days merry bright
And may Christmases white

May days merry bright
And may Christmases white
",32,85,14,6.071428571428571,33,154000,168762,"['christmas', 'country christmas', 'country', 'taylor swift', 'cover']",4.076573747524035
20,Jump Then Fall,"I like way sound morning
Were phone without warning
I realize laugh best sound
I ever heard

I like way I cant keep focus
I watch talk didnt notice
I hear words I think is
We together
Every time smile I smile
And every time shine Ill shine you

Whoa oh Im feeling baby
Dont afraid to
Jump fall
Jump fall me
Baby Im never gonna leave you
Say wanna too
Cause Imma stay all
So jump fall

Well I like way hair falls face
You got keys me
I love freckle face oh
Ive never wrapped honey
I like way youre everything I ever wanted

I time think over
And I say come closer
Take deep breath jump fall me
Cause every time smile I smile
And every time shine Ill shine you

Whoa oh Im feeling baby
Dont afraid to
Jump fall
Jump fall me
Baby Im never gonna leave you
Say wanna too
Cause Imma stay all
So jump fall

The bottoms gonna drop feet
Ill catch Ill catch you
When people say things bring knees
Ill catch you
The time gonna come youre mad could cry
But Ill hold night smile

Whoa oh I need baby
Dont afraid please
Jump fall
Jump fall me
Baby Im never gonna leave you
Say wanna too
Cause Imma stay all
So jump fall
Jump fall baby
Jump fall me

Every time smile I smile
And every time shine Ill shine
And every time youre here
Baby Ill show Ill show you
You jump fall jump fall
Jump fall yeah
",125,328,58,5.655172413793103,102,237000,993451,"['country', 'taylor swift', 'Love', 'pop', 'dancing around my room']",6.632070496345005
21,Untouchable,"Untouchable like distant diamond sky
Im reaching I cant tell why
Im caught you
Im caught you

Untouchable burning brighter sun
And youre close I feel like coming undone

In middle night
When Im dream
Its like million little stars
Spelling name
You gotta come come on
Say well together
Come come on
Little taste Heaven

Its half full I wont wait day
I know youre saying youd anyway

But youre untouchable burning brighter sun
And youre close I feel like coming undone

In middle night
When Im dream
Its like million little stars
Spelling name
You gotta come come on
Say well together
Come come on

Oh middle night
Waking dream
I wanna feel side
Standing next me
You gotta come come on
Say well together
Come come on
Little taste Heaven

Im caught Oh oh

But youre untouchable burning brighter sun
Now youre close I feel like coming undone

In middle night
When Im dream
Its like million little stars
Spelling name
You gotta come come on
Say well together
Come come oh oh

In middle night
When Im dream
Its like million little stars
Spelling name
You gotta come come on
Say well together
Come come come on

In middle night
Waking dream
I wanna feel side
Standing next me
You gotta come come on
Say well together
Come come on
Little taste Heaven

In middle night
When Im dream
Its like million little stars
Spelling name
You gotta come come on
Come come on
Come come oh oh oh

Like million little stars
Spelling name
Theyre spelling name oh
",125,321,68,4.720588235294118,67,311000,952935,"['country', 'taylor swift', 'female vocalists', 'pop', 'Love']",7.328634381561036
22,Forever & Always (Piano Version),"Once upon time
I believe Tuesday I caught eye
We caught onto something
I hold onto night
You looked eye told loved me
Were kidding
Cause seems me
This thing breaking almost never speak
I dont feel welcome anymore
Baby happened Please tell me
Cause one second perfect
Now youre halfway door

And I stare phone
He still hasnt called
And feel low
You cant feel nothing all
And flashback to
When said forever always
Oh rains bedroom
Everything wrong
It rains youre here
And rains youre gone
I said forever always

Was I line
Did I say something way honest
Made run hide like scared little boy
I looked eyes
Thought I knew minute Im sure
So heres everything coming nothing
Heres silence cuts core
Where going
Thought I knew minute I dont anymore

And I stare phone
He still hasnt called
And feel low
You cant feel nothing all
And flashback to
When said forever always
And rains bedroom
Everything wrong
It rains youre here
And rains youre gone
I said forever always

You didnt mean baby
I dont think oh oh oh
Back baby back up
Did forget everything
Back baby back up
Did forget everything

Back baby back up
Please back oh back up
Back baby back up

Cause rains bedroom
Everything wrong
It rains youre here
And rains youre gone
I said forever always

And I stare phone
He still hasnt called
And feel low
You cant feel nothing all
And flashback to
When said forever always
Cause rains bedroom
Everything wrong
It rains youre here
And rains youre gone
I said forever always

You didnt mean baby
You said forever always yeah
",139,348,70,4.9714285714285715,107,0,350965,"['country', 'piano', 'taylor swift', 'Love', 'acoustic']",8.27825738277196
23,Come In With The Rain,"I could go back every laugh
But I dont wanna go anymore
And I know steps door
But I dont wanna go anymore

Talk wind talk sky
Talk man reasons why
And let know find

Ill leave window open
Cause Im tired night call name
Just know Im right hopin
That youll come rain

I could stand sing song
But I dont wanna go far
And I Ive got down
I know heart
And dont even know I start

Talk talk tears
Talk man put here
And dont wait sky clear

Ill leave window open
Cause Im tired night call name
Oh know Im right hopin
That youll come rain

Ive watched long
Screamed name
I dont know else I say

But Ill leave window open
Cause Im tired night games
Just know Im right hopin
That youll come rain

I could go back every laugh
But I dont wanna go anymore
",78,199,32,6.21875,62,238000,736257,"['country', 'taylor swift', 'acoustic', 'female vocalists', 'singer-songwriter']",6.001198190487835
24,Superstar,"This wrong I cant help feel like
There aint nothing right babe
Misty morning comes I cant
Help wish I could see face
And I knew first note played
Id breaking rules see you
You smile beautiful smile and
All girls front row scream name

So dim spotlight tell things like
I cant take eyes you
Im one special another
Wide eyed girl whos desperately love you
Give photograph hang wall superstar

Morning loneliness comes around Im not
Dreaming you
When world wakes today
Youll another town
And I knew I saw face Id be
Counting ways see you
You smile beautiful smile and
All girls front row scream name

So dim spotlight tell things like
I cant take eyes you
Im one special another
Wide eyed girl whos desperately love you
Give photograph hang wall superstar

You played bars play guitar
And Im invisible everyone knows are
And youll never see sing sleep
Every night radio

So dim spotlight tell things like
I cant take eyes you
Im one special another
Wide eyed girl whos desperately love you
Give photograph hang wall superstar
Sweet sweet superstar superstar
",87,240,36,6.666666666666667,92,261000,619915,"['country', 'taylor swift', 'country pop', 'modern country', 'female vocalists']",6.027780208667581
25,The Other Side Of The Door,"In heat fight I walked away
Ignoring words saying
Trying make stay
I said This time Ive enough
And youve called hundred times
But Im picking up

Cause Im mad I might tell over
But look little closer

I said Leave I really want you
To stand outside window throwing pebbles
Screaming Im love you
Wait pouring rain come back more
And dont leave cause I know
All I need side door

Me stupid pride sitting alone
Going photographs staring phone
I keep going back things said
And I remember slamming door things I misread

So babe know everything tell couldnt see
That I left I wanted chase me

Yeah I said Leave I really want you
To stand outside window throwing pebbles
Screaming Im love you
Wait pouring rain come back more
And dont leave cause I know
All I need side door

And Ill scream window
I cant even look you
I dont need I I I do
I say Theres nothing say make right again
I mean I mean it
What I mean is

I said Leave baby I want you
To stand outside window throwing pebbles
Screaming Im love you
Wait pouring rain come back more
And dont leave cause I know
All I need side door

With face beautiful eyes
And conversation little white lies
And faded picture beautiful night
You carried car stairs
And I broke crying worth mess
After everything little black dress
After everything I must confess I need you
",126,330,45,7.333333333333333,124,237000,689232,"['country', 'female vocalists', 'taylor swift', 'country pop', 'great lyrics']",6.591862889496738
26,Fearless,"Theres somethin bout way
The street looks rained
Theres glow pavement
You walk car
And know I wanna ask dance right there
In middle parking lot
Yeah
Oh yeah

Were drivin road
I wonder know
Im tryin hard get caught now
But youre cool
Run hands hair
Absentmindedly makin want you

And I dont know gets better this
You take hand drag head first
Fearless
And I dont know Id dance storm best dress
Fearless

So baby drive slow
Til run road one horse town
I wanna stay right passengers seat
You put eyes me
In moment capture remember it

Cause I dont know gets better this
You take hand drag head first
Fearless
And I dont know Id dance storm best dress
Fearless

Well stood doorway
My hands shake
Im usually way
But pull Im little brave
Its first kiss
Its flawless
Really something
Its fearless

Oh yeah

Cause I dont know gets better this
You take hand drag head first
Fearless
And I dont know Id dance storm best dress
Fearless

Cause I dont know gets better this
You take hand drag head first
Fearless
And I dont know Id dance storm best dress
Fearless

Ohoh
Oh yeah
",114,265,50,5.3,98,240000,2863176,"['country', 'taylor swift', 'pop', 'female vocalists', 'Fearless']",7.575421477632317
27,Fifteen,"You take deep breath walk doors
Its morning first day
You say Hi friends aint seen while
Try stay everybodys way
Its freshman year youre gonna here
For next four years town
Hoping one senior boys wink say
You know I havent seen around before

Cause youre fifteen somebody tells love you
Youre gonna believe them
And youre fifteen
Feeling like theres nothing figure out
Well count ten take in
This life know youre gonna be
Fifteen

You sit class next redhead named Abigail
And soon enough youre best friends
Laughing girls think theyre cool
Well soon can
And youre first date hes got car
And youre feeling like flying
And mammas waiting youre thinking hes one
And youre dancing round room night ends
When night ends

Cause youre fifteen somebody tells love you
Youre gonna believe them
When youre fifteen
And first kiss makes head spin round
But life youll things greater dating boy football team
But I didnt know fifteen

When wanted wanted
Wish could go back tell know now

Back I swore I gonna marry someday
But I realized bigger dreams mine
And Abigail gave everything boy changed mind
And cried

Cause youre fifteen somebody tells love you
Youre gonna believe them
And youre fifteen
Dont forget look fall
Ive found time heal anything
And might find youre supposed be
I didnt know I supposed fifteen

La la la la la la la
La la la la la la la
La la la la la la la

Your first day
Take deep breath girl
Take deep breath walk doors
",135,349,49,7.122448979591836,143,295000,2440811,"['country', 'taylor swift', 'pop', 'country pop', 'female vocalists']",6.469563396558487
28,Love Story,"We young I first saw you
I close eyes flashback starts
Im standing there
On balcony summer air

See lights see party ball gowns
See make way crowd
And say Hello
Little I know

That Romeo throwing pebbles
And daddy said Stay away Juliet
And I crying staircase
Begging Please dont go
And I said

Romeo take somewhere alone
Ill waiting All theres left run
Youll prince Ill princess
Its love story Baby say Yes

So I sneak garden see you
We keep quiet cause dead knew
So close eyes
Escape town little while
Oh oh

Cause Romeo I scarlet letter
And daddy said Stay away Juliet
But everything me
I begging Please dont go
And I said

Romeo take somewhere alone
Ill waiting All theres left run
Youll prince Ill princess
Its love story Baby say Yes

Romeo save Theyre tryna tell feel
This love difficult real
Dont afraid Well make mess
Its love story Baby say Yes

Oh oh oh

I got tired waiting
Wondering ever coming around
My faith fading
When I met outskirts town
And I said

Romeo save Ive feeling alone
I keep waiting never come
Is head I dont know think
He knelt ground pulled ring said

Marry Juliet Youll never alone
I love thats I really know
I talked dad Go pick white dress
Its love story Baby say Yes

Oh oh oh oh oh oh

Cause young I first saw you
",138,327,51,6.411764705882353,129,326000,8498405,"['country', 'taylor swift', 'Love', 'pop', 'romantic']",8.624836477929975
29,Hey Stephen,"Mmmmm mmmm
Mmmmm mmmm
Mmmmm mmmm yeah

Hey Stephen
I know looks deceiving
But I know I saw light you
And walked
We talking
I didnt say half things I wanted to

Of girls tossing rocks window
Ill one waiting even cold
Hey Stephen
Boy might believing
I dont always alone

Cause I cant help look like angel
Cant help I wanna kiss rain
So come feel magic Ive feeling since I met you
Cant help theres one else
Mmm I cant help myself

Hey Stephen
Ive holding back feeling
So I got things say ha
Ive seen all
So I thought
But I never seen nobody shine way do

The way walk way talk way say name
Its beautiful wonderful dont ever change
Hey Stephen
Why people always leaving
I think I stay same

Cause I cant help look like angel
Cant help I wanna kiss rain
So come feel magic Ive feeling since I met you
Cant help theres one else
Mmm I cant help myself

Theyre dimming street lights
Youre perfect Why arent tonight
Im waiting alone come come out
And pull near shine shine shine

Hey Stephen
I could give fifty reasons
Why I one choose
All girls
Well theyre beautiful
But would write song you
Haha

I cant help look like angel
Cant help I wanna kiss rain
So come feel magic Ive feeling since I met you
Cant help theres one else
Mmm I cant help myself

if look like angel
Cant help I wanna kiss rain
So come feel magic Ive feeling since I met you
Cant help theres one else
Mmm I cant help myself

Myself
Cant help myself
I cant help myself
",117,340,59,5.762711864406779,114,254000,1923468,"['country', 'taylor swift', 'female vocalists', 'Love', 'pop']",6.846397528350644
