Index,Artist,Title,Mood,lyrics
ML27,The Rolling Stones,Gimme Shelter,angry,"77 ContributorsGimme Shelter Lyrics[Intro: Merry Clayton]
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh

[Verse 1: Mick Jagger]
Ooh, a storm is threatening
My very life today
If I don't get some shelter
Ooh yeah, I'm gonna fade away

[Chorus: Mick Jagger and Merry Clayton]
War, children
It's just a shot away
It's just a shot away
War, children
It's just a shot away
It's just a shot away, yeah

[Verse 2: Mick Jagger and Merry Clayton]
Ooh, see the fire is sweepin'
Our very streets today
Burns like a red-coal carpet
Mad bull lost your way
You might also like[Chorus: Mick Jagger and Merry Clayton]
War, children, yeah
It's just a shot away
It's just a shot away
War, children, yeah
It's just a shot away
It's just a shot away

[Instrumental Break 02:04-02:44]
[Guitar Solo]

[Bridge: Merry Clayton]
Rape, murder, it's just a shot away
It's just a shot away
Rape, murder, yeah, it's just a shot away
It's just a shot away
Rape, murder it's just a shot away
It's just a shot away
Yeah

[Verse 3: Mick Jagger and Merry Clayton]
Mmm, a flood is threatening
My very life today
Gimme, gimme shelter
Or I'm going to fade away
[Chorus: Mick Jagger and Merry Clayton]
War, children
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away

[Outro: Mick Jagger and Merry Clayton]
I tell you love, sister
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
Kiss away, kiss away

[Instrumental Outro]
[Harmonica Solo]41Embed"
ML28,The Rolling Stones,Happy,happy,"21 ContributorsHappy Lyrics[Verse 1]
Well, I never kept a dollar past sunset
It always burned a hole in my pants
Never made a school mama happy
Never blew a second chance, oh no

[Chorus]
I need a love to keep me happy
I need a love to keep me happy
Baby, baby, keep me happy
Baby, baby, keep me happy

[Verse 2]
Always took candy from strangers
Didn't wanna get me no trade
Never want to be like papa
Working for the boss every night and day

[Chorus]
I need a love to keep me happy
I need a love
Baby, won't you keep me happy?
Baby, won't you keep me happy? (Happy)
Baby, please keep me

[Chorus]
I need a love to keep me happy
I need a love to keep me happy
Baby, baby, keep me happy
Baby
You might also like[Verse 3]
Never got a flash out of cocktails
When I got some flesh off the bone
Never got a lift out of Lear jets
When I can fly way back home

[Chorus]
I need a love to keep me happy
I need a love to keep me happy
Baby, baby, keep me happy
Baby, baby, keep me happy
Baby

[Outro]
Happy
Baby, won't you keep me happy
Baby, won't you keep me happy
Baby, won't you keep me happy
Baby, won't you keep me happy
Baby, won't you keep me happy
Oh, keep, oh, baby, keep me happy
Now, baby, won't you keep me happy
Baby, got me feeling happy
Now, now, now, now, now, happy
Come on now, keep me happy
Keep on, baby, keep me happyEmbed"
ML29,Bobby Bare,Detroit City,relaxed,"6 ContributorsDetroit City LyricsI wanna go home, I wanna go home
Oh, how I wanna go home
Last night I went to sleep in Detroit City
And I dreamed about those cottonfields and home
I dreamed about my mother dear, old papa, sister and brother
I dreamed about that girl who's been waiting for so long
I wanna go home, I wanna go home, oh, how I wanna go home

Homefolks think I'm big in Detroit City
From the letters that I write they think I'm fine
But by day I make the cars, by night I make the bars
If only they could read between the lines

Cause you know I rode the freight train north to Detroit City
And after all these years I find I've just been wastin' my time
So I just think I'll take my foolish pride
And put it on a Southbound freight and ride
And go on back to the loved ones, the ones that I left waitin' so far behind

I wanna go home, I wanna go home
Oh, how I wanna go home...You might also likeEmbed"
ML30,Gene Watson,Got No Reason Now For Goin' Home,relaxed,"1 ContributorGot No Reason Now For Goin’ Home Lyrics[Chorus]
Got no reason now for goin' home
All my reason's now she is gone
Got no one there to talk to
And even though I know I ought to
Got no reason now for goin' home

[Verse 1]
Once I had every reason a man could want
For going home and making love, but now I don't
So I end up in here each night sitting and a-thinking
Missing her, hurting so and drinking

[Chorus]
Got no reason now for goin' home
All my reason's now she is gone
Got no one there to talk to
And even though I know I ought to
Got no reason now for goin' home

[Instrumental Break]

[Verse 2]
It's so hard now just knowing there's another
That she's out with him knowing that I love her
So I end up in here each night sitting and a-thinking
Missing her, hating him and drinking
See Gene Watson LiveGet tickets as low as $40You might also like[Chorus]
Got no reason now for goin' home
All my reason's now she is gone
Got no one there to talk to
And even though I know I ought to
Got no reason now for goin' homeEmbed"
ML31,George Strait,El Rey,sad,"5 ContributorsEl Rey Lyrics[Verse 1]
Yo se bien que estoy afuera, pero el día que yo me muera
Se que tendrás que llorar, dirás que no me quisiste
Pero vas a estar muy triste, y así te vas a quedar

[Chorus]
Con dinero y sin dinero, hago siempre lo que quiero
Y mi palabra es la ley, no tengo trono ni reyna
Ni nadie que me comprenca, pero sigo siendo el rey

[Verse 2]
Me enseñó que mi destino, era rodar y rodar
Despues me dijo un arriero
Que no hay que llegar primero
Pero hay que saber llegar

[Chorus]
Con dinero y sin dinero, hago siempre lo que quiero
Y mi palabra es la ley, no tengo trono ni reyna
Ni nadie que me comprenca, pero sigo siendo el reySee George Strait LiveGet tickets as low as $135You might also like1Embed"
ML32,Playing For Change,Don't Worry,relaxed,"2 ContributorsDon’t Worry LyricsLet's don't worry my brother
In this world we are all the same
We must find peace
We must find it together
Is not far away from your heart
You've got the good vibration

Let your heart follow the rhythm
When the voice give you emotion
You have fulfill peace

When the butterfly dances in the sky
When you want to sing what you like
You've got the good sensation
You've got the good sensation
You've got the good vibration

You've got the good vibration

Lets don't worry my brother
In this world we are all the same
We must find peace
We must find it together
Is not far away from your heart
You've got the good vibration
You've got the good vibration
You've got the good vibrationYou might also likeEmbed"
ML33,The Rolling Stones,Melody,relaxed,"9 ContributorsMelody Lyrics[Chorus]
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name

[Verse 1]
Came home one morning about quarter to three
I'm banging on my door because I just lost my key
Open up, baby, you got someone else inside
I'm going to come get you, dead or alive

[Chorus]
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name

[Verse 2]
I took her out dancing but she drank away my cash
She said, ""I'm going to fix my face don't you worry I'll be back""
I'm looking for her high and low like a mustard for a ham
She was crashed out in the bathroom in the arms of my best friend

[Chorus]
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
You might also like[Verse 3]
Then one day she left me, she took everything that moved
My car, she took my trailer home, she took my Sunday boots
My nose is on her trail, I'm going to catch her by surprise
Then I'm going to have the pleasure to roast that child alive

[Outro]
WhatI say? It was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
Melody (Melody), it was her second name
It was her second name
It was her second name
Melody was her second name
Melody was her second name
That sweet sweet sweet baby
Baby
Baby, baby
Baby
Melody
Melody (Melody), it was her second name
Melody (Melody), it was her second name
MelodyEmbed"
ML34,Stars,Fixed,sad,"7 ContributorsFixed LyricsWhat you want, you are
You always were
What you want, you are
You always were
When the plans fall
Changing hands
What are the chances
Of winning?

You, you hold my heart
You, you won't let up
After when I'm caught
Touch turns into fisticuffs
It's all in your head
Wonder if I'm fixed to cut

Fake statistics
In the collected whole
With all the hunger
That keeps you climbing walls
It's the one thing you can count on
We all end floating away
We all end floating away

You, you hold my heart
You, you won't let up
After when I'm caught
Touch turns into fisticuffs
It's all in your head
Wonder if I'm fixed to cut
You might also likeIs it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?

You
You're sinking, so they say
You
You're finished, so they say
You
You're buried, so they say
You
A killer killing fateEmbed"
ML35,Glasser,Home,relaxed,"3 ContributorsHome LyricsThe clouds were dust
Raining on us
There was a phantom here
In a bed of love

Home, home

Naturally collapsing
Our homes and beds
And wedding rings

Home, home
Home, home
Home, home

The clouds were dust
Raining on us
There was a phantom here
In a bed of love

Home, homeYou might also likeEmbed"
ML36,Betty Wright,Where Is The Love,happy,"4 ContributorsWhere is the Love Lyrics[Chorus]
Where is the love, where is the love you promised me?
Where is the love, where is the love you promised me?

[Verse 1]
You said I could have all your loving
And this I wanted it you'd give it to me
Now when it's down to the real nitty gritty
You're hiding your love from me, woo-hoo

[Chorus]
Where is the love, where is the love you promised me? (Got to know)
Where is the love, where is the love you promised me?

[Verse 2]
You said I'd be the only one
That you'd be giving your sweet love to
But somebody else must be getting your love
'Cause loving me you just don't do, no, no

[Chorus]
Where is the love, where is the love you promised me? (You know I need it, baby)
Where is the love, where is the love you promised me?

[Bridge]
I'm waiting on your love now, baby - where is your love?
I'm hurting for your love now, baby - where is your love?
You might also likeBaby, baby, baby, baby
Baby, baby, oh, where is the love?

[Chorus]
Where is the love, where is the love you promised me? (I gotta know)
Where is the love, where is the love you promised me?

[Outro]
Don't tell me you back on your promising, baby
I gotta have it, you know I need it
You know I want it, I gotta have it, baby
Oh-ho-ho, hey hey, baby
Where is the love? I gotta know
Where is the love?
You told me you were gonna give it to me
Where is the love? Where is the love? Woo-ooh-hoo
Where is the love you said was mine?
I gotta know now, hey, I gotta know now
I gotta know, ho ho ho, hey hey hey, yeah, whoa-ho-ho-oh
Where is the love you said you were gonna give to me?
Ho-whoa-whoa, hey, hey, hey
I want it, I need it, I got to have it
Woo-hoo-hoo, hey, hey, yeah, heyEmbed"
ML37,Mavis Staples,You Are Not Alone,angry,"2 ContributorsYou Are Not Alone LyricsYou are not alone
I'm with you
I'm lonely too
What's that song
That can't be sung by two
A broken home
A broken heart
Isolated and afraid
Open up this is a raid
I wanna get it through to you
You're not alone

You're not alone
Every night
I stand in your place
Every tear
On every face
Tastes the same
A broken dream
A broken heart
Isolated and afraid
Open up this is a raid
I'm gonna get it through to you
You're not alone

An open hand
An open heart
There's no need to be afraid
Open up this is a raid
I wanna get it through to you
You're not alone
I wanna get it through to you
You're not alone
I'm gonna get it through to you
You're not aloneSee Mavis Staples LiveGet tickets as low as $55You might also likeEmbed"
ML38,The Rolling Stones,Not Fade Away,happy,"12 ContributorsNot Fade Away Lyrics[Verse 1]
I'm going to tell you how it's going to be
You're gonna give your love to me
I'm gonna love you night and day
Well love is love and not fade away
Well love is love and not fade away

[Verse 2]
My love is bigger than a Cadillac
I try to show it and you're driving me back
Your love for me has got to be real
For you to know just how I feel
Love is real and not fade away
Well love is real and not fade away

[Verse 1]
I'm gonna tell you how it's going to be
You're going to give your love to me
A love that lasts more than one day
Well love is love and not fade away
Well love is love and not fade away
Well love is love and not fade away
Well love is love and not fade awayYou might also likeEmbed"
ML39,The Beach Boys,God Only Knows,happy,"74 ContributorsGod Only Knows Lyrics[Verse 1: Carl Wilson]
I may not always love you
But long as there are stars above you
You never need to doubt it
I'll make you so sure about it

[Refrain: Carl Wilson]
God only knows what I'd be without you

[Verse 2: Carl Wilson]
If you should ever leave me
Well, life would still go on, believe me
The world could show nothing to me
So what good would living do me?

[Refrain: Carl Wilson]
God only knows what I'd be without you

[Interlude: Carl Wilson, Brian Wilson, and Bruce Johnston]
Ooh, ooh
Do, do, do, do, do, do, do
Bow, buh-bow, buh-bow, buh-bow (Do, do, do, do)
Buh-bow, buh-bow, buh-bow (Do, do, do, do, do, do)
Buh-bow, buh-bow, buh-bow, buh-bow (Do, do, do, do, do, do, do, do)

[Refrain: Carl Wilson]
God only knows what I'd be without you
You might also like[Verse 3: Carl Wilson]
If you should ever leave me
Well, life would still go on, believe me
The world could show nothing to me
So what good would living do me?

[Chorus: Carl Wilson]
God only knows what I'd be without you
[Outro: Carl Wilson with Brian Wilson and Bruce Johnston]
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you (What I'd be)
God only knows what I'd be without you (God only knows)
God only knows what I'd be without you (What I'd be)
God only knows what I'd be without you (God only knows)
God only knows what I'd be without you (What I'd be)
God only knows what I'd be without you (God only knows)
God only knows what I'd be without you (What I'd be)
God only knows what I'd be without you (God only knows)
God only knows what I'd be without you (What I'd be)
God only knows what I'd be without you (God only knows)24Embed"
ML40,Korn,Blind,sad,"51 ContributorsTranslationsРусскийBlind Lyrics[Intro: Jonathan Davis]
Are you ready?

[Verse 1: Jonathan Davis]
This place inside my mind
A place I like to hide

[Refrain: Jonathan Davis]
You don't know the chances
What if I should die?
A place inside my brain
Another kind of pain
You don't know the chances
I'm so blind
Blind
Blind

[Verse 2: Jonathan Davis]
Another place I find
To escape the pain inside

[Refrain: Jonathan Davis]
You don't know the chances
What if I should die?
A place inside my brain
Another kind of pain
You don't know the chances
I'm so blind
Blind
Blind
You might also like[Bridge: Jonathan Davis]
Deeper, and deeper, and deeper
As I journey to live a life that seems to be a lost reality
That can never find a way to reach my inner...
Self-esteem is low
How deep can I go in the ground that I lay
If I don't find a way to
See through the gray that clouds my mind
This time I look to see what's between the lines
I can see, I can see I'm going blind
I can see, I can see I'm going blind
I can see, I can see I'm going blind
I can see, I can see I'm going blind

[Chorus: Jonathan Davis & Head]
I can see, I can see I'm going blind
I can see, I can see I'm going blind
I can see, I can see I'm going blind
I can see, I can see I'm going blind
I can see, I can see I'm going blind (I can see I'm going)
I can see, I can see I'm going blind (Going blind)
I can see, I can see I'm going blind
I can see, I can see I'm going blind!

[Outro: Jonathan Davis]
I'm blind!
I'm blind!
I'm blind!
I'm blind!18Embed"
ML41,Megadeth,Angry Again,angry,"19 ContributorsAngry Again Lyrics[Verse 1]
The more of you that I inspect
The more of me I see reflect
The more I try to read your lips
The more the mask you're wearing rips
But when I seek out your voice
My ears are overcome with noise
You show and tell with greatest ease
Raving impossibilities

[Chorus]
Engaged in crime I grasp my throat
Enraged my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry

[Verse 2]
And when the story takes a twist
It folds like a contortionist
Slight of hand and quick exchange
The old tricks have been rearranged

[Chorus]
Engaged in crime I grasp my throat
Enraged my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry
You might also like[Bridge]
The searing of the sinew
My body fights for air
The ripping of the tissue
My lungs begin to tear
Gravity's got my bones
It pulls my flesh away
The steam finally dissipates
I make out my sweaty face

[Instrumental Break]

[Verse 3]
Association that I choose
Game I inevitably lose
Governed by laws set up by me
Fracture its jaw to let me be
A cut-out cardboard condo maze
Filled with an insubordinate race
Irrational youths stop to stare
As music rubber hosed the air

[Chorus]
Engaged in crime I grasp my throat
Enraged my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry again, and again and again, again
[Outro]
Engaged in crime I grasp my throat
Enraged my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry3Embed"
